business,title,where,when,apply,remote,requisits,requisits_compleixes,requisits_no_compleixes,numero_requisits,numero_requisits_compleixes,numero_requisits_no_compleixes
Tenth Revolution Group,Data Scientist/Data Analyst - 100% remote,España,hace 2 semanas,Más de 100 solicitudes,En remoto,"['Ingeniería de datos', 'Python', 'SQL', 'Amazon Web Services (AWS)\nAñadir', 'Arquitectura de datos\nAñadir', 'Bases de datos\nAñadir', 'Diseño de bases de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Microsoft Azure Machine Learning\nAñadir', 'Modelado de datos\nAñadir']","['Ingeniería de datos', 'Python', 'SQL']","['Amazon Web Services (AWS)\nAñadir', 'Arquitectura de datos\nAñadir', 'Bases de datos\nAñadir', 'Diseño de bases de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Microsoft Azure Machine Learning\nAñadir', 'Modelado de datos\nAñadir']",10.0,3.0,7.0
TENDAM,Senior Data Scientist,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Python', 'SQL', 'Amazon Web Services (AWS)\nAñadir']","['Python', 'SQL']",['Amazon Web Services (AWS)\nAñadir'],3.0,2.0,1.0
Gauss & Neumann,Data Scientist,"Barcelona, Cataluña, España",hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Analítica de datos', 'Análisis de datos estadísticos', 'Análisis predictivo', 'Aprendizaje profundo', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'Python', 'Visualización de datos', 'Analítica\nAñadir']","['Analítica de datos', 'Análisis de datos estadísticos', 'Análisis predictivo', 'Aprendizaje profundo', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'Python', 'Visualización de datos']",['Analítica\nAñadir'],9.0,8.0,1.0
Cobser Consulting,Desarrollador de Python,España,hace 1 semana,Más de 100 solicitudes,En remoto,"['Pandas (Software)', 'Python', 'Extraer, transformar y cargar (ETL)\nAñadir']","['Pandas (Software)', 'Python']","['Extraer, transformar y cargar (ETL)\nAñadir']",3.0,2.0,1.0
Microsoft,Data Annotation Specialist,"Andalucía, España",hace 2 semanas,30 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Inglés', 'Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']","['Capacidad de análisis', 'Comunicación', 'Inglés']","['Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']",10.0,3.0,7.0
Quental,💻 Ingeniero/a Python y R. Remoto 100%,España,hace 3 semanas,Más de 100 solicitudes,En remoto,"['Algoritmos de aprendizaje automático', 'Python', 'R (Lenguaje de programación)', 'SQL', 'Procesamiento de datos\nAñadir']","['Algoritmos de aprendizaje automático', 'Python', 'R (Lenguaje de programación)', 'SQL']",['Procesamiento de datos\nAñadir'],5.0,4.0,1.0
Innova-tsn,Data Scientist,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,Híbrido,"['Analítica de datos', 'Linux', 'Python', 'R (Lenguaje de programación)', 'SAS', 'Amazon Web Services (AWS)\nAñadir', 'MLOps\nAñadir', 'PySpark\nAñadir', 'R Shiny\nAñadir', 'RStudio\nAñadir']","['Analítica de datos', 'Linux', 'Python', 'R (Lenguaje de programación)', 'SAS']","['Amazon Web Services (AWS)\nAñadir', 'MLOps\nAñadir', 'PySpark\nAñadir', 'R Shiny\nAñadir', 'RStudio\nAñadir']",10.0,5.0,5.0
Nunegal Consulting,Data Scientist,España,Publicado de nuevo hace 4 días,Más de 100 solicitudes,En remoto,"['Estadística', 'Matemáticas', 'Programación', 'Python', 'SQL', 'Base de datos SQL\nAñadir', 'Bases de datos\nAñadir', 'Computación en la nube\nAñadir', 'Detección de anomalías\nAñadir', 'Mejora continua\nAñadir', 'Project Plus\nAñadir']","['Estadística', 'Matemáticas', 'Programación', 'Python', 'SQL']","['Base de datos SQL\nAñadir', 'Bases de datos\nAñadir', 'Computación en la nube\nAñadir', 'Detección de anomalías\nAñadir', 'Mejora continua\nAñadir', 'Project Plus\nAñadir']",11.0,5.0,6.0
AI Superior,Sr. Data Scientist (NLP),España,hace 1 semana,Más de 100 solicitudes,En remoto,"['Aprendizaje profundo', 'Estadística', 'Procesamiento de lenguaje natural', 'Python', 'Large Language Models (LLM)\nAñadir']","['Aprendizaje profundo', 'Estadística', 'Procesamiento de lenguaje natural', 'Python']",['Large Language Models (LLM)\nAñadir'],5.0,4.0,1.0
Microsoft,Data Annotation Specialist,"Aragón, España",hace 2 semanas,16 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Inglés', 'Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']","['Capacidad de análisis', 'Comunicación', 'Inglés']","['Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']",10.0,3.0,7.0
